ACTIVITY,BP,HR,CIRCLUATION
0,36,113,615
3,34,223,2059
3,80,540,8870
3,33,157,1519
0,110,158,1403
4,193,362,5847
3,23,220,3450
2,12,79,317
3,50,235,4905
0,286,580,15345
2,28,156,1364
0,80,243,3292
0,64,86,367
3,35,223,2059
5,33,179,1626
2,20,54,165
2,151,305,2610
3,84,128,693
4,26,247,2754
3,66,473,14125
3,16,109,689
0,52,110,483
0,26,178,1112
3,27,196,1885
4,148,109,486
5,51,180,2054
3,40,322,4619
3,38,157,1519
3,42,315,5844
4,22,102,764
4,39,67,224
4,30,179,1626
0,180,258,2466
3,31,193,2118
4,72,403,6746
4,97,120,809
2,170,305,2610
4,85,176,1922
5,27,262,3211
4,30,196,1997
3,60,271,4426
3,16,196,1885
2,48,271,4426
4,134,208,1691
3,44,51,132
1,6,33,5
3,41,235,4905
3,14,79,317
4,24,102,764
4,47,322,4619
0,174,511,12198
3,16,109,689
1,6,33,5
3,5,63,166
5,85,272,3539
3,13,109,689
4,15,132,806
1,143,247,3373
3,48,234,1581
4,94,120,809
1,21,85,343
5,23,131,271
2,16,88,292
0,297,424,9398
5,12,72,340
4,148,540,18067
3,20,188,2599
5,149,281,4061
4,25,174,1415
4,85,352,6744
4,90,156,1521
2,75,104,457
4,34,52,133
2,75,104,457
0,65,328,3464
0,53,353,7830
3,77,172,973
0,78,139,1359
3,5,63,166
3,53,223,2059
2,19,54,165
0,64,260,3800
4,90,156,1521
0,91,633,27862
5,151,281,4061
5,39,194,1521
3,94,120,809
1,137,247,3373
2,71,473,14125
0,63,601,20653
0,47,297,5838
2,24,249,3630
0,299,381,6749
2,52,67,224
1,42,52,133
4,40,180,2054
0,340,494,14646
0,90,154,557
3,25,247,2754
4,50,224,2192
0,40,250,2395
4,95,176,1922
3,24,216,2677
0,24,132,936
0,61,149,933
0,61,339,4727
3,40,315,5844
3,76,142,844
0,52,261,2536
0,64,318,6060
3,140,305,2610
3,22,196,1885
3,24,216,2677
5,34,77,205
0,21,139,429
3,38,154,587
1,21,85,343
4,6,63,166
3,85,388,6290
4,15,132,806
0,161,319,4624
3,26,215,2188
3,80,128,693
2,49,51,132
0,81,119,931
0,145,157,1161
3,19,123,621
4,16,132,806
3,207,362,5847
4,35,196,1997
0,94,551,9006
5,64,176,1922
4,25,166,1414
3,17,196,1885
3,38,272,3539
2,50,223,2059
4,77,145,1156
4,40,193,2118
5,117,171,1747
2,17,96,804
5,39,51,102
4,28,193,2118
4,26,138,554
1,32,183,931
2,38,71,249
0,30,143,1068
4,35,193,2118
4,76,101,249
4,51,390,7459
4,96,33,5
3,23,88,292
0,58,325,5326
5,66,224,2192
0,62,367,7586
5,108,171,1747
3,25,216,2677
0,67,125,585
0,15,122,804
5,69,272,3539
0,55,229,3534
3,28,247,2754
3,61,273,2061
3,33,166,1414
2,44,235,4905
2,54,67,224
0,62,253,3623
4,25,174,1415
4,47,156,654
3,15,166,1111
5,109,208,1691
3,36,234,2464
4,161,109,486
4,26,174,1415
4,67,224,2192
0,31,289,4621
3,37,315,5844
0,16,140,694
3,100,537,8350
4,161,308,6057
3,42,315,5844
2,165,305,2610
4,16,132,806
0,184,898,33577
3,40,166,1111
1,17,88,292
4,57,272,3539
3,23,166,1414
0,46,71,245
0,30,199,2057
4,30,156,654
2,126,88,318
4,71,101,249
5,26,262,3211
3,72,388,6290
5,12,80,395
0,14,83,367
5,83,172,973
2,26,249,3630
0,2,107,188
3,76,224,2192
5,73,158,1403
2,36,154,587
3,71,540,8870
2,98,130,490
2,93,449,5537
4,34,247,2754
3,5,63,166
2,31,249,3630
0,19,159,889
0,15,114,487
2,156,305,2610
3,19,196,1885
2,16,88,292
0,88,366,6190
3,59,107,346
0,92,151,1023
5,75,163,1162
2,36,154,587
4,120,208,1691
0,41,264,3537
3,49,254,3885
4,24,193,2118
0,59,170,1110
3,33,247,2754
0,94,156,1521
5,18,76,147
3,80,388,6290
4,71,101,249
0,14,118,551
4,120,88,318
4,15,79,292
4,57,180,2054
4,91,176,1922
0,4,107,270
5,42,196,1997
5,23,148,729
3,52,107,346
3,15,196,1885
2,50,51,132
2,29,315,5844
3,21,196,1885
0,58,309,4251
3,14,105,765
1,35,183,931
5,67,320,3466
5,42,67,224
5,113,208,1691
3,32,71,249
4,39,156,654
2,66,352,6744
4,23,138,554
3,87,136,619
0,7,113,518
3,81,540,8870
0,88,499,10980
4,45,223,2822
2,92,33,5
0,32,182,1575
2,6,33,5
0,21,98,520
4,66,271,4426
2,85,128,693
4,22,174,1415
3,50,235,4905
4,66,136,619
3,99,156,1521
5,65,107,517
2,22,234,1581
0,74,354,5219
0,10,119,428
0,46,206,2824
4,119,208,1691
0,8,95,549
3,7,79,317
3,43,166,1111
3,32,188,2599
2,117,205,1751
0,5,72,289
0,96,182,981
3,71,388,6290
5,122,462,11563
0,22,144,811
2,19,88,292
0,56,121,690
3,77,403,6746
4,150,540,18067
4,31,77,205
3,21,216,2677
0,33,175,555
4,90,388,6290
2,92,33,5
5,133,237,2672
5,57,288,2334
4,63,272,3539
2,57,473,14125
0,92,440,10967
2,81,352,6744
2,80,449,5537
1,12,88,292
0,55,289,3460
3,7,63,166
4,27,174,1415
0,22,166,1631
0,50,456,7708
0,172,321,3714
1,148,247,3373
0,35,223,1578
0,105,520,11735
4,25,102,764
0,24,158,1806
3,34,157,1519
0,25,150,729
3,41,235,4905
4,60,223,2822
5,24,148,729
0,46,311,4066
3,35,154,587
4,50,272,3539
3,45,196,1997
0,20,193,2822
4,30,148,729
3,35,216,2677
0,15,116,726
3,82,120,809
5,37,67,224
0,17,168,1111
2,13,105,765
2,8,33,5
5,52,234,1581
2,10,79,317
0,16,132,806
4,39,156,654
3,26,154,1252
4,60,224,2192
2,26,216,2677
5,114,171,1747
5,62,468,9276
5,54,180,2054
3,18,166,1111
4,43,224,2192
2,95,449,5537
2,47,196,1997
0,56,231,3452
0,16,118,1062
0,85,126,398
4,87,176,1922
4,59,288,2334
3,86,172,973
3,18,196,1885
4,38,131,271
4,71,101,249
4,49,294,4249
3,22,109,689
0,128,249,2391
3,17,96,804
3,37,215,2188
2,17,88,292
0,39,328,3806
1,22,85,343
4,25,220,3450
3,58,271,4426
0,96,166,1519
4,93,159,2181
3,15,220,3450
5,106,208,1691
0,27,135,584
0,29,149,1025
3,18,220,3450
5,27,132,806
4,36,156,654
0,79,387,6747
3,15,105,765
4,92,33,5
0,17,209,1871
0,63,317,7454
4,40,71,249
0,31,140,850
0,73,387,8080
0,14,167,1262
3,23,216,2677
4,38,223,2822
4,16,132,806
0,79,331,2404
0,124,616,32530
0,138,127,973
0,25,148,769
5,27,262,3211
5,17,72,340
4,96,139,587
0,94,221,2254
5,14,76,147
4,64,224,2192
5,114,171,1747
3,24,247,2754
3,66,473,14125
0,171,281,4061
3,88,403,6746
0,21,205,2387
4,45,294,4249
3,52,271,4426
0,53,161,930
0,5,237,3986
0,21,137,852
5,66,288,2334
0,32,197,1420
1,17,85,343
0,46,314,6628
0,43,183,975
3,24,216,2677
3,96,33,5
1,147,247,3373
4,49,288,2334
3,97,537,8350
4,22,72,340
0,18,113,423
3,14,109,689
0,116,508,9831
4,20,193,2118
4,130,208,1691
4,66,166,1414
0,7,53,102
4,49,262,3211
4,35,179,1626
5,75,172,973
0,117,649,12837
3,87,403,6746
2,52,93,545
0,42,84,292
2,41,52,133
2,40,224,2192
0,171,218,3369
5,52,262,3211
0,246,525,17130
0,55,342,6982
3,80,120,809
3,36,234,2464
2,77,104,457
0,155,679,16966
5,78,320,3466
3,45,254,3885
4,35,154,587
0,108,496,11423
0,102,260,3209
4,29,156,1364
5,101,209,2534
2,24,85,343
0,27,132,1513
1,17,88,292
3,55,107,346
4,55,288,2334
4,26,216,2677
5,36,166,1414
3,60,540,8870
0,46,367,7344
0,286,422,8995
0,50,67,224
0,47,322,6740
4,17,132,806
0,159,820,29095
0,9,75,339
2,17,88,292
0,104,737,26039
0,19,166,1364
2,96,130,490
3,21,119,973
3,54,107,346
3,95,130,490
4,30,220,3450
0,116,302,5318
3,98,130,490
4,59,134,970
0,27,146,430
5,81,156,1521
2,50,234,1581
0,20,205,2824
2,67,104,457
2,17,96,804
4,93,388,6290
0,15,135,930
3,28,220,3450
0,28,179,1163
0,53,245,4334
3,38,315,5844
0,11,94,581
5,49,294,4249
2,14,88,292
2,169,305,2610
2,48,51,132
4,63,134,970
0,18,76,396
2,71,473,14125
0,32,148,891
5,42,156,654
5,52,288,2334
0,76,250,1639
3,8,63,166
3,45,223,2059
4,31,156,654
3,25,138,554
4,50,93,545
3,59,483,15505
4,54,214,1469
0,93,157,1207
3,119,88,318
1,23,85,343
4,63,271,4426
0,24,123,1207
4,158,109,486
5,12,95,427
2,20,54,165
4,37,67,224
4,52,272,3539
0,3,43,161
3,100,537,8350
3,35,51,132
5,56,262,3211
0,47,219,2391
4,81,176,1922
1,12,88,292
4,15,132,806
3,60,390,7459
0,19,143,771
3,30,71,249
4,27,220,3450
0,118,186,1698
0,36,184,1810
3,33,234,2464
2,61,271,4426
0,40,188,1521
3,48,93,545
4,78,272,3539
4,116,171,1747
0,435,267,2130
4,21,188,2599
3,32,154,587
2,52,271,4426
3,42,234,2464
4,19,196,1885
4,41,180,2054
5,64,483,15505
2,125,88,318
4,146,540,18067
4,30,247,2754
3,23,220,3450
3,54,483,15505
0,81,175,1466
0,40,323,4153
2,58,107,346
0,62,150,1305
3,38,223,2059
4,17,194,1521
0,213,317,4723
3,14,196,1885
3,51,107,346
3,55,224,2192
4,83,163,1162
0,239,143,1018
0,7,81,184
0,27,250,2610
0,20,119,400
0,24,121,485
0,59,335,7099
4,10,51,102
4,33,168,772
3,70,540,8870
2,98,130,490
4,32,188,2599
0,155,264,1873
2,97,130,490
0,42,204,1694
0,37,277,3294
2,34,249,3630
0,45,289,2683
0,10,112,585
0,58,458,9003
5,47,322,4619
4,42,272,3539
4,88,130,490
5,51,176,1313
0,41,115,427
0,70,129,729
4,75,128,693
2,20,54,165
2,42,52,133
0,71,263,1997
4,41,156,654
3,20,138,554
2,9,79,292
2,101,130,490
2,55,67,224
2,41,52,133
0,95,419,11869
0,29,127,896
4,24,166,1414
0,38,332,5857
4,36,194,1521
3,34,154,587
5,36,179,1626
4,88,176,1922
3,93,120,809
3,17,105,765
0,30,232,2900
0,26,237,2822
0,11,121,616
2,80,473,14125
4,31,179,1626
0,64,245,2463
3,27,109,689
4,27,102,764
1,8,33,5
3,41,234,2464
0,129,243,3050
4,114,205,1751
0,89,373,8989
3,24,247,2754
4,39,220,3450
0,179,330,4821
3,38,193,2118
3,46,272,3539
5,107,171,1747
4,96,33,5
3,121,88,318
2,19,54,165
5,84,139,587
2,92,33,5
5,34,179,1626
3,85,139,587
4,73,107,517
3,13,166,1111
3,87,305,2610
3,80,176,1922
3,108,537,8350
0,32,316,3980
4,13,51,102
5,111,320,3466
4,39,235,4905
3,60,473,14125
1,141,247,3373
3,40,196,1997
4,59,156,1521
3,17,85,343
5,24,51,102
3,41,196,1997
2,42,235,4905
3,20,188,2599
4,60,254,3885
5,67,468,9276
4,83,158,1403
3,72,223,2059
0,15,130,456
0,17,87,206
0,11,88,228
5,38,180,2054
0,65,90,420
0,47,325,3465
3,25,247,2754
4,37,215,2188
3,63,254,3885
0,174,134,890
2,56,271,4426
0,15,106,456
2,96,33,5
4,51,483,15505
4,34,71,249
3,33,156,1364
0,9,178,1259
0,10,142,1109
4,173,308,6057
5,37,262,3211
3,43,214,1469
2,20,54,165
5,12,72,340
3,27,216,2677
4,43,51,132
3,79,540,8870
0,51,241,2255
3,96,158,1403
4,15,132,806
3,8,33,5
0,19,136,804
3,31,234,1581
2,19,88,292
3,5,63,166
0,24,145,733
4,61,223,2822
4,78,176,1922
3,99,158,1403
3,42,67,224
1,24,85,343
4,18,76,147
0,61,288,3630
0,46,96,371
2,52,224,2192
0,52,182,1696
0,9,55,36
0,7,104,373
0,21,203,2059
2,10,79,317
5,42,180,2054
4,44,294,4249
0,141,247,2466
0,8,91,551
0,125,647,18675
4,152,109,486
4,60,223,2059
0,22,200,3448
4,24,196,1885
3,83,120,809
5,19,148,729
3,104,205,1751
0,61,128,520
2,21,54,165
0,35,210,1698
4,141,540,18067
0,44,116,524
4,23,174,1415
2,64,473,14125
5,29,148,729
0,95,207,1995
3,65,223,2059
4,19,138,554
3,57,172,973
3,21,216,2677
3,44,483,15505
0,1,181,3216
3,56,403,6746
2,19,88,292
2,63,473,14125
4,33,40,100
0,27,272,3295
3,54,272,3539
4,96,33,5
2,31,234,2464
0,13,164,770
2,42,52,133
3,83,120,809
0,6,58,134
4,84,156,1521
1,24,85,343
4,35,196,1997
2,41,52,133
4,50,180,2054
2,29,85,343
2,17,88,292
0,78,183,2250
3,81,172,973
2,57,271,4426
2,90,130,490
5,17,72,340
2,90,130,490
3,80,134,970
2,121,88,318
0,69,311,4916
0,67,410,6866
5,5,72,340
4,72,214,1469
5,125,171,1747
2,20,216,2677
5,81,139,587
3,50,93,545
0,15,147,491
4,26,102,764
5,116,171,1747
4,116,209,2534
0,10,122,321
4,71,101,249
4,31,166,1414
0,30,339,5849
3,98,158,1403
1,21,85,343
4,18,102,764
2,90,120,809
3,40,196,1997
0,140,237,2607
4,33,179,1626
0,12,85,318
3,52,93,545
3,33,193,2118
0,126,274,2834
4,94,158,1403
0,340,680,14154
3,34,224,2192
0,56,347,9121
5,42,180,2054
5,32,108,428
5,31,262,3211
5,62,288,2334
0,32,156,845
4,81,388,6290
0,27,161,1306
5,30,102,516
3,61,273,2061
2,16,79,292
2,9,79,292
3,39,215,2188
2,17,96,804
1,147,247,3373
0,16,118,186
4,40,223,2822
0,103,161,1068
0,128,279,2061
0,66,556,21655
5,104,209,2534
1,38,145,519
0,71,338,4075
4,65,101,249
2,12,105,765
5,59,214,1469
4,95,209,2534
3,23,215,2188
0,43,243,2902
5,142,109,486
3,49,51,132
3,52,93,545
3,41,235,4905
0,52,185,2315
4,78,176,1922
0,59,320,6285
0,93,430,9683
4,71,101,249
2,42,52,133
3,58,483,15505
3,45,483,15505
3,79,134,970
3,21,196,1885
1,140,247,3373
2,9,79,292
4,29,131,271
4,89,176,1922
3,29,107,346
0,50,159,1206
0,60,113,426
3,82,176,1922
4,26,156,654
2,92,33,5
3,48,254,3885
4,52,188,2599
0,202,471,6077
2,27,234,1581
2,77,142,844
0,118,127,1017
3,44,234,2464
3,25,166,1414
0,242,392,7454
3,30,157,1519
4,28,71,249
3,27,193,2118
0,49,393,8734
4,47,166,1414
3,17,63,166
0,23,77,222
3,87,388,6290
3,50,93,545
3,28,157,1519
4,26,132,806
4,130,208,1691
3,19,148,729
3,87,120,809
0,66,405,6185
3,98,158,1403
0,31,293,4245
4,19,138,554
2,10,79,317
2,23,54,165
5,70,130,694
2,8,79,292
4,150,109,486
3,77,403,6746
4,14,72,340
3,20,138,554
2,37,93,545
5,37,180,2054
4,119,208,1691
4,35,156,654
3,84,540,8870
5,34,131,271
0,23,183,1367
0,35,166,1579
2,10,79,317
3,107,462,11563
4,15,196,1885
3,19,88,292
3,69,172,973
3,93,136,619
4,124,205,1751
2,42,52,133
0,120,565,13977
0,43,237,2980
0,39,400,7584
4,76,172,973
5,40,180,2054
5,97,159,2181
0,106,368,6632
2,20,54,165
4,38,193,2118
2,50,51,132
3,5,63,166
5,20,102,764
3,66,403,6746
0,17,213,2750
4,16,132,806
4,25,216,2677
4,22,174,1415
3,18,138,554
2,20,54,165
4,58,473,14125
0,153,449,9546
0,34,203,1314
0,19,172,1418
4,71,101,249
0,76,286,1807
2,128,247,3373
1,24,85,343
2,76,104,457
3,32,156,1364
3,53,271,4426
4,29,188,2599
0,79,477,13306
4,30,148,729
2,98,130,490
4,80,163,1162
1,8,33,5
4,60,223,2822
4,55,262,3211
2,126,205,1751
2,49,51,132
5,115,208,1691
3,44,235,4905
2,142,217,2904
5,64,468,9276
0,56,362,12482
2,9,79,317
0,15,108,319
4,41,322,4619
3,96,136,619
0,23,130,401
5,69,273,2061
2,22,54,165
0,3,124,427
3,14,109,689
3,122,88,318
4,35,156,654
4,95,163,1162
0,29,271,2753
2,15,79,292
3,21,216,2677
5,44,262,3211
0,213,385,7096
5,45,90,405
4,48,254,3885
0,37,222,2190
3,51,272,3539
0,135,633,15518
2,100,130,490
3,22,196,1885
5,43,180,2054
3,72,352,6744
5,40,180,2054
2,91,449,5537
3,89,120,809
0,184,362,4930
5,80,320,3466
0,11,108,317
4,146,540,18067
0,56,390,5427
3,48,51,132
2,7,79,292
0,80,322,3889
4,15,132,806
5,24,76,147
4,39,322,4619
4,49,390,7459
0,30,187,1997
3,29,138,554
2,21,88,292
5,35,156,654
0,64,263,3794
5,28,194,1521
4,88,156,1521
0,15,102,616
4,31,156,1364
0,48,314,4913
3,47,315,5844
0,47,340,7696
3,66,403,6746
3,35,215,2188
3,87,388,6290
5,34,156,1364
3,78,172,973
3,81,540,8870
0,106,204,1692
4,12,111,453
3,167,308,6057
4,14,82,185
5,54,288,2334
0,27,179,1312
3,32,247,2754
5,63,130,694
0,90,604,11135
4,91,120,809
4,100,136,619
2,10,79,292
2,79,142,844
3,13,109,689
5,75,468,9276
1,35,183,931
0,191,262,2973
0,34,245,4999
3,29,216,2677
5,35,262,3211
0,82,418,5223
0,18,118,486
4,129,208,1691
2,42,235,4905
5,125,171,1747
4,80,403,6746
4,148,540,18067
0,195,297,5733
2,53,271,4426
2,10,79,292
0,139,287,4148
4,55,272,3539
4,39,196,1997
0,38,130,1153
2,127,217,2904
0,20,133,1569
0,50,347,5642
0,32,40,100
4,24,102,764
0,56,163,770
0,50,138,931
0,60,380,8329
4,69,101,249
3,157,308,6057
4,26,86,205
1,6,33,5
3,27,156,1364
0,109,164,1065
4,158,109,486
0,137,441,7591
0,308,491,10392
4,78,142,844
3,40,234,1581
3,22,196,1885
4,58,473,14125
2,41,234,1581
3,67,483,15505
5,54,288,2334
4,96,33,5
0,41,313,4721
3,76,134,970
3,25,193,2118
4,17,79,292
3,37,215,2188
0,167,555,12044
2,79,352,6744
3,40,71,249
0,35,200,2465
5,73,468,9276
0,56,315,4623
2,34,154,587
0,37,311,4910
0,37,116,615
5,91,403,6746
5,102,159,2181
3,35,156,1364
0,38,263,3797
5,43,156,654
0,35,197,1808
3,34,215,2188
0,11,179,1212
0,40,236,4059
0,82,194,1582
2,11,79,317
4,47,93,545
1,35,183,931
0,47,117,928
0,35,180,1362
5,128,171,1747
4,40,156,654
4,29,193,2118
0,28,154,1305
5,40,196,1997
0,27,130,1062
0,70,194,941
2,22,54,165
4,72,224,2192
3,65,142,844
0,9,90,613
0,34,315,6401
4,56,254,3885
3,86,128,693
0,37,251,2977
2,47,51,132
1,30,85,343
3,23,215,2188
0,38,268,3555
4,69,101,249
2,22,96,804
0,56,272,2321
3,123,88,318
2,11,79,317
4,54,273,2061
5,32,179,1626
4,71,101,249
4,19,138,554
5,125,208,1691
4,41,272,3539
4,51,288,2334
2,46,51,132
3,20,196,1885
4,28,220,3450
3,44,264,3217
3,49,93,545
3,43,67,224
2,16,79,292
2,54,271,4426
4,89,224,2192
0,46,112,689
0,75,134,970
0,104,151,1309
3,46,215,2188
0,29,151,806
0,36,159,974
3,0,130,490
0,30,118,1201
0,65,447,3813
4,46,156,654
5,82,163,1162
0,83,199,2186
0,351,556,8611
4,93,158,1403
2,75,104,457
0,13,157,933
4,73,142,844
5,46,196,1997
3,8,79,292
3,43,235,4905
2,48,223,2059
4,27,194,1521
0,14,173,2664
5,52,223,2822
2,92,33,5
0,73,609,14484
4,32,216,2677
3,81,449,5537
3,39,71,249
2,11,79,317
2,17,88,292
5,3,43,161
5,35,95,427
2,78,128,693
3,84,403,6746
5,40,483,15505
4,95,176,1922
3,68,388,6290
0,247,388,7708
0,41,197,1025
4,84,176,1922
0,55,205,2749
0,29,121,404
3,45,315,5844
3,38,71,249
2,28,234,2464
2,26,234,1581
2,11,79,317
0,57,307,5214
2,71,104,457
4,21,111,453
2,137,217,2904
2,69,224,2192
4,78,172,973
0,6,102,270
2,16,79,292
3,78,142,844
3,73,142,844
4,170,109,486
4,38,156,654
3,61,254,3885
4,37,179,1626
3,35,157,1519
4,145,540,18067
4,33,131,271
0,11,135,553
0,42,105,247
4,72,320,3466
0,36,232,1872
0,36,189,1167
4,97,158,1403
4,61,254,3885
0,60,371,4347
4,27,216,2677
0,22,170,732
4,22,138,554
3,9,105,765
3,18,216,2677
0,140,325,3223
1,6,33,5
3,18,196,1885
5,39,215,2394
3,37,166,1414
5,68,273,2061
4,141,540,18067
3,61,134,970
3,21,216,2677
0,27,277,4421
5,17,156,1364
0,28,244,3795
0,66,393,6185
5,41,188,2599
4,47,93,545
4,130,540,18067
0,8,81,88
3,13,109,689
0,49,86,315
3,30,157,1519
0,26,123,846
2,77,104,457
0,184,775,25801
0,29,190,2966
3,82,120,809
5,26,102,516
2,49,67,224
3,28,174,1415
0,71,380,7094
4,44,67,224
2,96,130,490
0,30,190,2054
0,110,269,5619
5,26,82,185
4,66,224,2192
3,26,166,1414
2,93,139,587
2,18,96,804
3,27,216,2677
2,50,51,132
4,55,294,4249
4,89,136,619
5,14,79,317
3,32,196,1885
0,70,332,3545
0,60,282,3218
3,19,109,689
1,20,85,343
1,22,85,343
3,8,63,166
0,72,185,1026
0,41,193,1576
5,39,166,1414
0,87,184,1118
5,134,109,486
3,81,128,693
4,80,176,1922
0,44,183,1638
5,44,322,4619
3,63,224,2192
5,58,152,1165
4,40,156,654
3,79,540,8870
4,40,235,4905
0,131,227,1757
5,29,179,1626
0,78,659,13162
4,69,101,249
3,74,352,6744
4,49,93,545
3,84,388,6290
0,9,74,369
2,26,86,205
2,46,271,4426
3,99,120,809
4,83,128,693
4,32,131,271
0,71,386,5540
1,144,247,3373
4,74,388,6290
4,24,131,271
5,64,320,3466
2,96,130,490
3,19,220,3450
2,59,271,4426
2,85,163,1162
3,15,109,689
2,128,205,1751
3,91,120,809
0,26,211,2753
4,149,540,18067
3,72,172,973
3,93,120,809
4,37,193,2118
2,20,54,165
4,25,194,1521
5,78,468,9276
0,70,210,2255
0,43,119,690
3,83,120,809
2,92,33,5
2,163,305,2610
0,350,587,14495
0,42,226,2749
5,147,109,486
0,125,442,9536
4,17,102,764
2,50,93,545
5,54,262,3211
1,13,88,292
4,92,33,5
4,64,288,2334
3,41,483,15505
0,116,298,2132
4,47,234,1581
5,3,43,161
5,31,72,340
0,43,378,3980
2,15,88,292
0,173,254,2904
0,18,126,689
3,85,176,1922
5,29,154,1252
5,40,262,3211
4,84,158,1403
4,43,156,654
4,41,156,654
5,53,288,2334
2,162,305,2610
3,67,540,8870
3,111,205,1751
2,62,483,15505
4,29,174,1415
1,8,33,5
0,56,329,6616
0,24,169,1467
4,86,176,1922
0,23,163,1020
2,31,183,931
0,13,90,405
1,21,85,343
5,39,262,3211
4,45,272,3539
5,14,72,340
0,138,534,18080
3,35,52,133
2,17,88,292
0,65,233,1587
0,25,236,2747
4,95,214,1469
2,121,88,318
4,51,390,7459
5,135,237,2672
4,55,473,14125
0,16,80,515
4,41,196,1997
3,30,71,249
3,19,188,2599
0,44,192,1470
4,37,220,3450
0,17,61,129
2,34,234,2464
0,83,416,5963
2,78,163,1162
0,23,157,1253
3,33,216,2677
5,144,281,4061
0,42,308,4156
3,47,51,132
3,115,462,11563
0,59,255,2753
4,44,156,1364
0,101,395,7591
4,87,156,1521
0,103,364,4820
2,79,352,6744
2,11,79,317
0,44,381,6737
0,28,96,318
5,122,171,1747
5,38,179,1626
3,107,205,1751
0,86,468,8473
5,49,483,15505
4,10,33,5
0,155,536,19034
4,22,102,764
0,28,205,1692
3,14,148,729
4,81,540,8870
2,10,79,317
0,28,294,3377
0,187,348,5322
3,74,403,6746
0,7,86,273
4,21,174,1415
2,25,249,3630
1,36,183,931
0,60,162,844
0,6,81,246
4,75,403,6746
2,137,217,2904
0,54,166,1309
0,32,280,4148
5,145,281,4061
2,10,79,317
2,17,249,3630
0,43,268,4063
4,27,174,1415
1,31,183,931
2,92,33,5
4,31,216,2677
0,46,206,1165
4,26,174,1415
3,26,86,205
0,34,246,2067
0,91,498,11583
0,47,325,6619
5,34,131,271
3,20,220,3450
0,130,564,16233
4,69,223,2059
0,69,362,4351
0,97,174,889
3,144,305,2610
3,55,483,15505
0,39,252,2465
5,22,86,205
4,30,108,428
4,58,273,2061
2,34,247,2754
3,36,234,2464
3,12,79,317
0,30,196,1811
5,78,128,693
3,37,215,2188
2,22,54,165
4,20,132,806
3,18,109,689
5,25,76,147
3,34,154,587
4,15,132,806
3,16,220,3450
2,104,352,6744
2,48,235,4905
0,28,271,3061
0,19,240,2894
4,207,388,6290
4,31,215,2188
0,57,374,6628
3,31,215,2188
0,153,408,6182
0,19,132,586
3,13,79,317
4,29,216,2677
2,61,271,4426
3,41,188,2599
4,80,388,6290
2,78,352,6744
0,13,63,202
5,121,462,11563
4,23,216,2677
4,24,194,1521
0,39,106,522
5,26,168,772
4,33,149,549
2,13,138,554
0,129,585,11137
1,21,88,292
1,47,51,132
5,78,288,2334
0,86,172,973
2,19,54,165
4,15,111,453
5,116,208,1691
4,24,102,764
4,65,101,249
4,26,174,1415
2,45,154,587
0,25,241,3209
4,77,142,844
3,15,109,689
5,59,214,1469
4,22,72,340
2,104,163,1162
2,89,130,490
3,18,216,2677
0,40,356,3985
3,79,388,6290
3,53,272,3539
3,82,142,844
0,56,216,1994
3,52,315,5844
4,96,158,1403
3,17,196,1885
0,22,235,3296
3,59,272,3539
0,9,59,168
0,32,103,372
2,20,54,165
2,39,67,224
2,15,96,804
0,19,110,582
4,62,315,5844
4,33,179,1626
5,40,262,3211
0,89,450,12658
4,72,101,249
0,48,122,694
4,71,101,249
4,28,156,1364
2,30,40,100
0,28,128,806
0,55,194,2457
3,91,120,809
0,2,53,168
0,79,419,9684
1,14,88,292
0,17,148,729
3,100,159,2181
1,17,88,292
0,92,135,585
0,93,324,7817
2,56,271,4426
3,37,71,249
1,6,33,5
4,55,214,1469
5,110,208,1691
0,111,603,16774
4,68,172,973
3,27,247,2754
0,36,336,7453
4,89,540,8870
0,24,158,1468
3,54,483,15505
0,14,94,482
4,35,174,1415
0,11,85,267
0,32,282,5419
4,16,85,343
5,65,223,2822
0,70,170,1805
0,35,184,1698
2,42,224,2192
3,39,154,587
0,47,202,1994
2,51,67,224
3,51,254,3885
5,56,288,2334
2,34,183,931
3,35,40,100
4,56,272,3539
2,99,130,490
5,45,180,2054
2,62,223,2059
5,29,262,3211
5,115,320,3466
5,28,131,271
0,13,162,1360
0,114,205,1994
3,54,108,318
4,56,214,1469
2,16,79,292
3,19,96,804
4,82,156,1521
2,87,120,809
5,93,139,587
0,110,974,52210
0,30,123,487
2,75,449,5537
0,19,144,768
2,17,88,292
3,33,40,100
2,15,123,621
0,234,388,5432
0,308,460,5862
4,61,473,14125
0,204,476,8349
4,49,196,1997
0,46,226,2981
3,32,156,1364
2,48,93,545
0,71,221,2746
0,78,531,16585
5,124,171,1747
5,5,43,161
3,63,223,2059
2,16,79,292
3,34,322,4619
4,180,308,6057
2,16,79,292
3,35,166,1414
0,24,114,690
0,34,296,4344
4,166,281,4061
4,31,71,249
2,50,93,545
3,42,67,224
0,107,440,7587
3,26,196,1885
4,50,51,132
3,34,224,2192
4,33,156,1364
0,14,90,370
5,66,101,270
3,80,540,8870
0,38,107,765
0,19,174,807
5,120,171,1747
3,27,247,2754
0,11,116,399
4,86,540,8870
4,40,102,764
5,15,119,395
5,60,468,9276
0,81,421,8470
0,17,107,271
4,84,403,6746
4,49,262,3211
3,32,174,1415
1,36,183,931
5,35,188,2599
4,32,156,654
0,80,138,554
0,284,521,9407
5,97,156,1521
0,13,151,1111
4,42,390,7459
3,16,148,729
